Token: 0, Lexema: inteiro, Descrição: Tipo inteiro
Token: 29, Lexema: i, Descrição: Identificador
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 29, Lexema: i, Descrição: Identificador
Token: 22, Lexema: =, Descrição: Operador de atribuição (=)
Token: 30, Lexema: 0, Descrição: Número inteiro
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 5, Lexema: enquanto, Descrição: Estrutura de repetição (enquanto)
Token: 25, Lexema: (, Descrição: Parêntese de abertura (()
Token: 29, Lexema: i, Descrição: Identificador
Token: 16, Lexema: <, Descrição: Operador menor que (<)
Token: 30, Lexema: 5, Descrição: Número inteiro
Token: 26, Lexema: ), Descrição: Parêntese de fechamento ())
Token: 29, Lexema: i, Descrição: Identificador
Token: 22, Lexema: =, Descrição: Operador de atribuição (=)
Token: 29, Lexema: i, Descrição: Identificador
Token: 10, Lexema: +, Descrição: Operador de soma (+)
Token: 30, Lexema: 1, Descrição: Número inteiro
Token: 23, Lexema: ;, Descrição: Separador de comandos (;)
Token: 32, Lexema: EOF, Descrição: Fim do arquivo
